file	section	name	seconds	outcome
profile-ci-build-34903415756.html	configuration	:client:resolvableIosSimulatorArm64TestCompilationApi	0.000	
profile-ci-build-34903415756.html	configuration	:client:resolvableLinuxX64TestCompilationApi	0.000	
profile-ci-build-34903415756.html	configuration	:client:resolvableMacosArm64TestCompilationApi	0.000	
profile-ci-build-34903415756.html	configuration	:client:resolvableMacosX64TestCompilationApi	0.000	
profile-ci-build-34903415756.html	configuration	:client:resolvableMingwX64TestCompilationApi	0.000	
profile-ci-build-34903415756.html	configuration	:client:testKotlinScriptDefExtensions	0.000	
profile-ci-build-34903415756.html	configuration	:core:detachedConfiguration2	0.000	
profile-ci-build-34903415756.html	configuration	:core:jvmMainAnnotationProcessor	0.000	
profile-ci-build-34903415756.html	configuration	:core:jvmTestAnnotationProcessor	0.000	
profile-ci-build-34903415756.html	configuration	:core:kotlinCompilerPluginClasspathJvmMain	0.000	
profile-ci-build-34903415756.html	configuration	:core:kotlinCompilerPluginClasspathNativeMain	0.000	
profile-ci-build-34903415756.html	configuration	:core:kotlinCompilerPluginClasspathNativeTest	0.000	
profile-ci-build-34903415756.html	configuration	:core:kotlinScriptDefExtensions	0.000	
profile-ci-build-34903415756.html	configuration	:core:resolvableNativeTestCompilationApi	0.000	
profile-ci-build-34903415756.html	configuration	:core:testKotlinScriptDefExtensions	0.000	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:annotationProcessor	0.000	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:detachedConfiguration1	0.000	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:detachedConfiguration2	0.000	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:kotlinBuildToolsApiClasspath	0.000	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:kotlinCompilerPluginClasspathTest	0.000	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:kotlinScriptDefExtensions	0.000	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:testAnnotationProcessor	0.000	
profile-ci-build-34903415756.html	configuration	:dev:android-gradle-plugin:testKotlinScriptDefExtensions	0.000	
profile-ci-build-34903415756.html	configuration	:dev:client-android:detachedConfiguration2	0.000	
profile-ci-build-34903415756.html	configuration	:dev:client-android:kotlinBuildToolsApiClasspath	0.000	
profile-ci-build-34903415756.html	configuration	:dev:client-android:lintPublish	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:detachedConfiguration1	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:detachedConfiguration2	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:jvmMainAnnotationProcessor	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:jvmMainCompileClasspath	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:jvmTestAnnotationProcessor	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:kotlinBuildToolsApiClasspath	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:kotlinCompilerPluginClasspathJvmMain	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:kotlinCompilerPluginClasspathJvmTest	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:kotlinCompilerPluginClasspathMetadataCommonMain	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:kotlinCompilerPluginClasspathNativeMain	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:kotlinCompilerPluginClasspathNativeTest	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:kotlinNativeBundleConfiguration	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:kotlinScriptDefExtensions	0.000	
profile-ci-build-34903415756.html	configuration	:dev:retrace:ktlintRuleset	0.000	
